Date,Open,High,Low,Close,Adj Close,Volume
2/8/2020,385.549866,411.228302,357.143646,370.671722,370.671722,18909744275
3/8/2020,371.13385,396.506989,369.336334,386.295166,386.295166,12834648062
4/8/2020,386.156464,400.700623,382.985107,389.875488,389.875488,14086704221
5/8/2020,389.710815,406.303955,386.218475,401.590576,401.590576,12875466638
6/8/2020,401.583862,403.488678,392.600189,394.961945,394.961945,11304626458
7/8/2020,395.226868,398.249023,367.935516,379.512848,379.512848,12751687084
8/8/2020,379.551575,393.987366,377.349731,393.987366,393.987366,9342060531
9/8/2020,395.305237,399.737091,385.830719,391.120453,391.120453,9451065592
10/8/2020,391.041504,399.375946,391.041504,395.887573,395.887573,11685827893
11/8/2020,395.894714,398.478912,370.860626,380.384064,380.384064,12792218737
12/8/2020,380.063812,391.312317,367.923615,391.02417,391.02417,12408772745
13/8/2020,390.838104,432.904602,379.710876,428.741791,428.741791,18480303526
14/8/2020,428.677277,444.577759,423.345856,437.397827,437.397827,15064589987
15/8/2020,437.562988,441.754608,429.874603,433.354919,433.354919,12416067894
16/8/2020,433.350586,436.265839,415.086243,433.786621,433.786621,12168816874
17/8/2020,433.973755,442.734985,422.647278,429.53125,429.53125,13227089410
18/8/2020,429.669617,432.580292,419.674103,423.669312,423.669312,11978984079
19/8/2020,423.738586,427.024658,396.678345,406.463776,406.463776,13137391167
20/8/2020,406.758911,418.734436,404.026093,416.439789,416.439789,10043032427
21/8/2020,416.148773,418.63797,387.441132,389.126343,389.126343,11781796374
22/8/2020,389.031097,396.466583,382.814636,395.835144,395.835144,10131847985
23/8/2020,395.562836,396.490417,385.039795,391.384491,391.384491,8137303970
24/8/2020,391.678986,409.38858,389.314606,408.144196,408.144196,10328860398
25/8/2020,408.071686,408.527924,374.355377,384.001038,384.001038,12428442042
26/8/2020,383.977448,391.87326,378.705841,386.466125,386.466125,9967343483
27/8/2020,386.609863,395.349182,374.866486,382.632629,382.632629,10457777652
28/8/2020,382.629578,397.757629,381.273834,395.874664,395.874664,9120674421
29/8/2020,395.687592,405.616364,393.037415,399.921478,399.921478,8777703481
30/8/2020,399.616699,428.663971,399.608368,428.395721,428.395721,11211948040
31/8/2020,428.509003,438.560333,419.770172,435.079742,435.079742,12774741797
1/9/2020,434.874451,487.211884,432.079193,477.05191,477.05191,18862763756
2/9/2020,477.007874,480.330994,424.460022,440.040497,440.040497,19691854014
3/9/2020,440.23999,449.532471,381.1297,385.671936,385.671936,19622845896
4/9/2020,384.671631,402.411743,371.636688,388.24115,388.24115,16747106257
5/9/2020,388.038391,394.172272,316.774353,335.260071,335.260071,29880047640
6/9/2020,335.334564,359.764038,319.041901,353.362274,353.362274,27643678917
7/9/2020,353.450256,358.211884,326.254364,352.673492,352.673492,21763614732
8/9/2020,353.202271,355.562866,328.816772,337.602112,337.602112,17991403432
9/9/2020,337.824921,359.16449,332.165009,351.110016,351.110016,14547933520
10/9/2020,351.429321,377.393585,351.111755,368.101898,368.101898,31421134556
11/9/2020,368.1185,376.630402,355.582581,374.695587,374.695587,27296269329
12/9/2020,374.595398,387.538452,367.842194,387.183105,387.183105,13295405814
13/9/2020,387.519287,388.959808,354.340179,365.570007,365.570007,15005899191
14/9/2020,365.699585,384.485199,357.569763,377.26886,377.26886,17536695361
15/9/2020,377.154022,381.508301,363.606812,364.839203,364.839203,16140584321
16/9/2020,364.743988,372.767426,356.682739,365.812286,365.812286,16107612177
17/9/2020,365.865784,393.901611,364.795135,389.019226,389.019226,19899531080
18/9/2020,389.337494,391.904144,376.964996,384.364532,384.364532,14108357740
19/9/2020,384.041656,387.076355,378.72406,385.544373,385.544373,11049507684
20/9/2020,385.597992,385.597992,367.09436,371.052826,371.052826,12292195784
21/9/2020,371.400146,375.73703,336.06897,341.786072,341.786072,17398267133
22/9/2020,341.723816,346.60083,336.855042,344.503174,344.503174,12732578043
23/9/2020,344.622498,345.63559,317.692078,320.585541,320.585541,12047020995
24/9/2020,320.618317,351.46463,318.418976,349.356659,349.356659,13460565701
25/9/2020,349.363129,357.957245,339.350311,352.161865,352.161865,12254269350
26/9/2020,352.53125,355.960632,348.129639,354.965271,354.965271,11036752997
27/9/2020,354.587219,362.051361,349.094391,357.321686,357.321686,11464393949
28/9/2020,357.311157,366.890259,354.825134,354.9505,354.9505,12102509266
29/9/2020,354.974823,360.793488,351.819458,359.963409,359.963409,10286529445
30/9/2020,359.942352,361.210327,353.614349,360.022369,360.022369,9773649426
1/10/2020,360.004639,369.286987,347.197937,353.231293,353.231293,12360670278
2/10/2020,353.220184,354.075226,337.356934,346.532654,346.532654,12946215647
3/10/2020,346.502655,351.62793,344.886658,347.321594,347.321594,8599594017
4/10/2020,347.27243,354.253326,345.398712,353.121918,353.121918,9308536486
5/10/2020,353.045807,355.217896,350.197632,354.2771,354.2771,9933790982
6/10/2020,354.137787,355.504059,338.520233,341.021149,341.021149,11497841885
7/10/2020,341.091675,342.591248,335.5336,342.119781,342.119781,10537119715
8/10/2020,342.094971,352.800385,336.497101,351.455658,351.455658,11511016796
9/10/2020,354.137787,355.504059,345.398712,342.119781,351.455658,10537119715
10/10/2020,365.402466,378.267151,365.354034,370.96759,370.96759,13618484324
11/10/2020,370.928436,377.246796,369.828033,375.142059,375.142059,12584512533
12/10/2020,371.928436,376.246796,371.828033,376.142059,376.142059,12584512533
13/10/2020,379.19223,381.208771,371.354126,377.441833,377.441833,14964182545
14/10/2020,381.971466,387.296173,374.175018,379.484039,379.484039,13918846567
15/10/2020,379.19223,381.208771,371.354126,377.441833,377.441833,14964182545
16/10/2020,377.8685,380.021515,362.597412,366.229004,366.229004,14670784817
17/10/2020,366.015717,369.768127,364.489014,368.855927,368.855927,10951115359
18/10/2020,368.727539,378.597656,368.12915,378.213684,378.213684,11047103109
19/10/2020,378.469635,383.317657,373.702271,379.935608,379.935608,12811242092
20/10/2020,379.719696,380.761017,367.601074,369.136902,369.136902,13741586582
21/10/2020,369.059418,400.627258,368.727966,392.189972,392.189972,20241324322
22/10/2020,391.488617,420.141663,391.276306,413.77298,413.77298,15772846485
23/10/2020,414.051331,418.95993,403.082031,409.766693,409.766693,14256222052
24/10/2020,409.767242,416.59967,407.851715,412.457611,412.457611,12201739194
25/10/2020,412.457642,417.15921,405.350647,406.217773,406.217773,10890207469
26/10/2020,406.217987,411.279877,383.782898,393.888306,393.888306,15155684229
27/10/2020,393.888184,409.772858,390.608459,403.99704,403.99704,13940434102
28/10/2020,403.997101,408.964752,381.146332,388.650757,388.650757,15276441134
29/10/2020,388.651062,393.227692,381.288757,386.730103,386.730103,12920477749
30/10/2020,386.730255,391.464722,375.092407,382.819977,382.819977,13688056970
31/10/2020,382.820038,393.010132,381.295258,386.590332,386.590332,11276963426
1/11/2020,386.590332,397.116119,385.165527,396.358185,396.358185,10475146018
2/11/2020,396.355988,403.240753,381.017639,383.156738,383.156738,13997574252
3/11/2020,383.156036,389.515381,371.312744,387.602173,387.602173,12588494762
4/11/2020,387.60321,407.665649,377.827606,402.141998,402.141998,15126077675
5/11/2020,402.142944,417.52594,397.245819,414.067352,414.067352,15440711038
6/11/2020,414.066711,456.200623,412.9823,454.719299,454.719299,16738305610
7/11/2020,454.722565,465.675476,428.45636,435.713135,435.713135,18873289788
8/11/2020,435.718811,457.780457,433.153778,453.554779,453.554779,11292383601
9/11/2020,453.574158,457.349609,435.163879,444.163055,444.163055,13704320630
10/11/2020,444.166382,453.758362,439.600128,449.679626,449.679626,12090381666
11/11/2020,449.679657,473.578857,449.524933,462.960541,462.960541,14075403511
12/11/2020,462.959534,467.677826,452.072418,461.00528,461.00528,12877327234
13/11/2020,461.005493,475.217255,457.298248,474.626434,474.626434,13191505725
14/11/2020,474.626434,475.161438,452.986084,460.149841,460.149841,10312037942
15/11/2020,460.149902,460.99408,440.254333,447.559082,447.559082,10308617165
16/11/2020,447.55899,463.831024,445.501617,459.940308,459.940308,11441239444
17/11/2020,464.406647,482.232208,460.776611,480.360077,480.360077,14593057877
18/11/2020,480.346832,491.999908,465.830963,479.48407,479.48407,17880199224
19/11/2020,479.481018,480.121735,465.704254,471.630432,471.630432,12473929218
20/11/2020,471.63147,513.610352,471.63147,509.744568,509.744568,18629943296
21/11/2020,509.744598,550.227417,504.237762,549.486633,549.486633,20757099184
22/11/2020,549.486633,579.372498,514.517212,558.068115,558.068115,21967049601
23/11/2020,558.059509,609.98761,551.265259,608.454041,608.454041,27272302872
24/11/2020,608.522766,621.173401,593.835144,603.897766,603.897766,23281758100
25/11/2020,603.902039,605.094177,559.671387,570.686646,570.686646,20088492893
26/11/2020,570.514893,575.641479,485.497314,518.801147,518.801147,31104004592
27/11/2020,519.108093,530.777161,497.242615,517.493713,517.493713,16831105703
28/11/2020,517.597351,548.044861,508.125366,538.229797,538.229797,14770243833
29/11/2020,538.264587,576.602417,531.987549,575.758057,575.758057,15017517758
30/11/2020,575.75708,615.24054,571.537781,614.842529,614.842529,20276867833
1/12/2020,615.070313,635.160583,571.753967,587.324158,587.324158,27178964465
2/12/2020,587.261597,604.022461,578.741028,598.352356,598.352356,16883292129
3/12/2020,598.459229,622.452698,588.346375,616.70874,616.70874,16146190946
4/12/2020,616.722778,618.983154,569.283508,569.354187,569.354187,16337589997
5/12/2020,569.347656,596.595459,563.106628,596.595459,596.595459,13498010566
6/12/2020,596.568665,606.791931,584.411743,601.908997,601.908997,11290893016
7/12/2020,601.797119,602.917908,585.42865,591.843384,591.843384,10720480962
8/12/2020,591.900818,594.751587,552.469238,554.827759,554.827759,14398919320
9/12/2020,554.792908,577.288391,532.998413,573.479126,573.479126,15855915840
10/12/2020,573.504028,574.600159,549.784058,559.678528,559.678528,11672582040
11/12/2020,559.679199,560.376709,537.811646,545.797363,545.797363,11098819124
12/12/2020,545.578552,573.339417,545.245605,568.567322,568.567322,8534557897
13/12/2020,568.609863,593.78125,564.565979,589.663208,589.663208,9070377862
14/12/2020,589.782471,590.492981,577.118408,586.011169,586.011169,8125837102
15/12/2020,586.02179,596.247742,580.628784,589.355591,589.355591,9326645840
16/12/2020,589.378662,636.64032,582.039124,636.181824,636.181824,15817248373
17/12/2020,636.154175,673.834229,628.74939,642.868958,642.868958,25479532147
18/12/2020,642.916992,662.699097,632.356079,654.811951,654.811951,15756303983
19/12/2020,654.624207,668.769592,646.616211,659.297913,659.297913,12830893778
20/12/2020,659.185059,659.923706,625.014465,638.290833,638.290833,13375855442
21/12/2020,638.315186,646.846558,600.83606,609.817871,609.817871,14419493621
22/12/2020,609.420532,635.076599,589.552002,634.854187,634.854187,14745890080
23/12/2020,634.824585,637.122803,560.364258,583.7146,583.7146,15261413038
24/12/2020,584.13562,613.815186,568.596375,611.607178,611.607178,14317413703
25/12/2020,611.554565,633.061401,605.424438,626.410706,626.410706,13520927700
26/12/2020,626.498047,650.721436,617.4021,635.835815,635.835815,14761125202
27/12/2020,635.887146,711.393555,628.334961,682.642334,682.642334,26093552821
28/12/2020,683.205811,745.877747,683.205811,730.397339,730.397339,24222565862
29/12/2020,730.358704,737.952881,692.149414,731.520142,731.520142,18710683199
30/12/2020,731.472839,754.303223,720.988892,751.618958,751.618958,17294574210
31/12/2020,751.626648,754.299438,726.511902,737.803406,737.803406,13926846861
1/1/2021,737.708374,749.201843,719.792236,730.367554,730.367554,13652004358
2/1/2021,730.402649,786.798462,718.109497,774.534973,774.534973,19740771179
3/1/2021,774.511841,1006.565002,771.561646,975.50769,975.50769,45200463368
4/1/2021,977.058838,1153.189209,912.305359,1040.233032,1040.233032,56945985763
5/1/2021,1041.498779,1129.37146,986.811279,1100.006104,1100.006104,41535932781
6/1/2021,1101.005005,1209.428589,1064.233398,1207.112183,1207.112183,44699914188
7/1/2021,1208.078369,1282.57959,1167.443115,1225.678101,1225.678101,40468027280
8/1/2021,1225.967896,1273.827515,1076.081543,1224.197144,1224.197144,44334826666
9/1/2021,1223.740479,1303.871826,1182.270386,1281.077271,1281.077271,33233105361
10/1/2021,1280.871094,1347.926147,1194.715576,1262.246704,1262.246704,40616938053
11/1/2021,1261.622925,1261.622925,924.922607,1090.145386,1090.145386,60733630300
12/1/2021,1088.526733,1149.240234,1012.76416,1043.43457,1043.43457,37494601692
13/1/2021,1043.740967,1134.338501,994.549072,1130.73938,1130.73938,30109792795
14/1/2021,1130.231201,1244.163086,1093.060791,1218.453003,1218.453003,33410915929
15/1/2021,1221.877197,1250.505859,1090.721069,1171.834595,1171.834595,35972039310
16/1/2021,1171.443115,1290.053589,1157.623779,1233.537598,1233.537598,32319240157
17/1/2021,1233.453369,1265.644653,1174.38855,1230.172241,1230.172241,29258032819
18/1/2021,1230.313232,1259.450073,1187.311035,1257.279541,1257.279541,25817455560
19/1/2021,1257.43457,1432.300049,1254.522949,1377.295898,1377.295898,47195935190
20/1/2021,1375.248413,1405.744141,1243.299927,1382.274048,1382.274048,46784030909
21/1/2021,1382.684448,1382.684448,1098.476196,1121.570923,1121.570923,45932464754
22/1/2021,1118.889038,1271.687622,1046.596558,1236.512207,1236.512207,43918338506
23/1/2021,1235.267944,1272.151123,1200.893311,1230.990601,1230.990601,27253895441
24/1/2021,1231.210571,1395.111328,1225.274048,1391.609375,1391.609375,36418163554
25/1/2021,1390.639893,1467.784912,1304.973999,1324.414795,1324.414795,43565777745
26/1/2021,1323.741699,1376.085083,1253.340332,1357.058105,1357.058105,41572917750
27/1/2021,1358.333374,1368.074097,1215.311279,1253.187134,1253.187134,39394416990
28/1/2021,1251.279785,1321.613037,1226.17395,1298.101807,1298.101807,39790481941
29/1/2021,1369.086792,1428.981201,1292.240112,1382.522827,1382.522827,53611955259
30/1/2021,1382.231934,1402.39978,1328.529053,1376.115479,1376.115479,30616574234
31/1/2021,1376.823608,1378.916016,1288.501587,1314.986206,1314.986206,25198853581
1/2/2021,1314.855225,1373.845825,1274.357788,1369.040527,1369.040527,29210670920
2/2/2021,1369.505127,1542.990967,1362.77124,1515.193726,1515.193726,45437142801
3/2/2021,1514.769653,1660.909546,1510.010254,1660.909546,1660.909546,41874566399
4/2/2021,1661.170166,1689.186646,1561.853516,1594.762695,1594.762695,44396871836
5/2/2021,1594.793335,1756.510986,1594.793335,1718.650879,1718.650879,40108628454
6/2/2021,1717.797485,1738.314453,1649.068726,1677.846802,1677.846802,39873420648
7/2/2021,1677.605713,1690.036621,1501.750244,1614.227783,1614.227783,39889440151
8/2/2021,1613.642212,1770.59082,1571.579956,1746.616821,1746.616821,48012285956
9/2/2021,1746.926147,1815.963623,1711.620605,1768.035034,1768.035034,44180727529
10/2/2021,1768.039795,1826.696777,1686.542358,1744.243408,1744.243408,41916084617
11/2/2021,1743.714233,1806.539063,1708.679199,1783.797974,1783.797974,36021495262
12/2/2021,1783.489136,1861.356934,1744.168945,1843.532593,1843.532593,37905036865
13/2/2021,1843.986816,1871.603516,1770.612061,1814.109863,1814.109863,35359490535
14/2/2021,1814.372314,1848.154053,1789.914185,1805.084106,1805.084106,31439114900
15/2/2021,1804.676758,1833.830566,1683.906616,1779.791016,1779.791016,38955610883
16/2/2021,1778.945557,1824.518677,1729.641968,1781.067505,1781.067505,34269369268
17/2/2021,1781.350098,1853.667603,1736.705811,1848.458252,1848.458252,35955412703
18/2/2021,1848.206299,1949.903442,1848.206299,1937.449219,1937.449219,28255902969
19/2/2021,1938.859863,1969.546997,1896.684448,1960.164795,1960.164795,26268814253
20/2/2021,1959.902954,2036.286499,1830.531494,1919.534058,1919.534058,34696091102
21/2/2021,1918.673096,1974.259644,1890.368164,1935.601074,1935.601074,23626547717
22/2/2021,1935.557861,1936.453735,1580.626587,1781.99292,1781.99292,42409646036
23/2/2021,1781.409058,1781.409058,1378.840942,1570.203979,1570.203979,52029864713
24/2/2021,1571.47644,1710.983765,1511.018921,1626.575684,1626.575684,31329000537
25/2/2021,1625.393921,1670.224121,1465.05896,1475.703735,1475.703735,24481681873
26/2/2021,1478.65332,1559.028931,1407.979248,1446.033691,1446.033691,31435997881
27/2/2021,1446.929443,1524.932373,1433.786987,1459.973145,1459.973145,20742103233
28/2/2021,1459.860474,1468.391479,1300.472168,1416.04895,1416.04895,27637026080
1/3/2021,1417.151123,1567.69458,1416.416138,1564.707642,1564.707642,24032838645
2/3/2021,1564.063477,1597.610107,1461.325439,1492.608765,1492.608765,22523669722
3/3/2021,1491.451172,1650.360596,1481.905762,1575.853149,1575.853149,22674780680
4/3/2021,1574.623779,1622.953857,1511.103394,1541.914307,1541.914307,22906118718
5/3/2021,1541.541748,1547.878174,1450.891357,1533.275024,1533.275024,21067146937
6/3/2021,1532.372803,1669.106567,1519.141113,1654.741577,1654.741577,22746262366
7/3/2021,1655.392456,1730.924194,1636.564453,1723.153809,1723.153809,23809935410
8/3/2021,1724.229248,1835.192139,1670.942017,1834.727905,1834.727905,27630991158
9/3/2021,1835.148071,1868.048828,1804.266357,1868.048828,1868.048828,23461244507
10/3/2021,1868.489014,1873.803223,1766.490479,1799.16626,1799.16626,25154173185
11/3/2021,1798.033936,1843.818848,1734.617065,1826.194946,1826.194946,24013132909
12/3/2021,1826.546753,1839.497314,1728.980957,1772.102417,1772.102417,22435821312
13/3/2021,1772.166382,1937.645508,1733.639893,1924.685425,1924.685425,25014689475
14/3/2021,1923.86377,1930.779785,1845.119995,1854.564331,1854.564331,19344589211
15/3/2021,1854.08667,1889.196655,1749.606323,1791.702271,1791.702271,26244738810
16/3/2021,1792.413818,1817.060181,1720.053223,1806.971802,1806.971802,23828509590
17/3/2021,1807.056152,1839.81897,1749.179932,1823.449341,1823.449341,24512917348
18/3/2021,1823.158447,1848.646118,1705.716064,1782.855103,1782.855103,23263845504
19/3/2021,1782.568726,1841.196045,1746.473389,1817.624146,1817.624146,21249297710
20/3/2021,1817.522705,1874.708984,1811.728638,1812.634644,1812.634644,22677674970
21/3/2021,1812.606567,1823.353027,1764.139282,1788.217041,1788.217041,22977404620
22/3/2021,1788.362183,1811.968262,1674.299805,1691.333984,1691.333984,23599296129
23/3/2021,1690.871826,1725.108765,1662.539917,1678.650146,1678.650146,21998237965
24/3/2021,1678.002563,1740.428223,1570.787964,1593.413452,1593.413452,31228051473
25/3/2021,1593.123291,1625.911499,1560.370483,1595.359253,1595.359253,29650328701
26/3/2021,1595.210083,1702.922852,1594.736694,1702.842041,1702.842041,22548516548
27/3/2021,1703.036133,1732.824341,1674.319336,1716.494629,1716.494629,18102277710
28/3/2021,1716.40564,1728.584106,1672.6604,1691.355957,1691.355957,16599472938
29/3/2021,1691.263184,1837.187988,1683.716553,1819.684937,1819.684937,22796570548
30/3/2021,1819.466309,1860.974731,1793.922363,1846.033691,1846.033691,22512781703
31/3/2021,1846.098267,1947.837769,1793.002197,1918.362061,1918.362061,30226902621
1/4/2021,1919.157227,1989.055054,1912.178467,1977.276855,1977.276855,30914259795
2/4/2021,1976.932739,2152.451904,1960.678711,2143.225586,2143.225586,34862511022
3/4/2021,2142.895996,2144.962402,2028.422485,2028.422485,2028.422485,32011518871
4/4/2021,2027.671265,2110.353516,2007.111816,2093.122803,2093.122803,26006501902
5/4/2021,2093.260742,2140.985352,2032.387695,2107.887207,2107.887207,28889391170
6/4/2021,2109.493164,2151.223389,2057.609131,2118.378906,2118.378906,29222865881
7/4/2021,2117.728516,2133.1875,1945.442139,1971.077271,1971.077271,36116271935
8/4/2021,1969.133179,2091.516357,1959.079468,2088.57373,2088.57373,25312956529
9/4/2021,2088.772217,2102.873779,2055.16333,2072.108887,2072.108887,19812472092
10/4/2021,2071.111572,2196.996338,2062.787598,2135.942139,2135.942139,24986243611
11/4/2021,2136.156982,2165.191406,2119.865723,2157.656982,2157.656982,19692836132
12/4/2021,2157.361816,2199.71875,2110.368896,2139.353271,2139.353271,21727936609
13/4/2021,2139.364258,2318.42334,2138.55957,2299.187744,2299.187744,29456642939
14/4/2021,2299.3479,2449.6875,2284.563721,2435.10498,2435.10498,35592822986
15/4/2021,2436.034668,2544.267334,2409.924072,2519.116211,2519.116211,32325606817
16/4/2021,2516.601807,2547.555664,2318.675049,2431.946533,2431.946533,36196928256
17/4/2021,2429.980957,2497.385254,2333.682861,2344.89502,2344.89502,32349808978
18/4/2021,2346.452393,2365.460449,2011.766846,2237.136963,2237.136963,50696368718
19/4/2021,2238.032715,2276.776855,2086.688721,2166.188721,2166.188721,34060654971
20/4/2021,2161.939453,2345.834961,2060.143799,2330.210938,2330.210938,39433483315
21/4/2021,2331.160156,2467.200684,2238.366943,2364.751709,2364.751709,38899067643
22/4/2021,2357.871094,2641.094971,2315.960205,2403.535156,2403.535156,53575904724
23/4/2021,2401.256348,2439.537109,2117.039551,2363.586182,2363.586182,55413933925
24/4/2021,2367.199219,2367.740967,2163.693115,2211.625732,2211.625732,31854226936
25/4/2021,2214.413818,2354.08667,2172.515137,2316.05957,2316.05957,31814355546
26/4/2021,2319.478027,2536.337402,2308.315186,2534.481689,2534.481689,35208325408
27/4/2021,2534.03125,2676.392822,2485.375,2662.865234,2662.865234,32275969215
28/4/2021,2664.685547,2757.477295,2564.081543,2746.380127,2746.380127,34269031076
29/4/2021,2748.649658,2797.972412,2672.106689,2756.876953,2756.876953,32578127990
30/4/2021,2757.734131,2796.054932,2728.169922,2773.207031,2773.207031,29777179889
1/5/2021,2772.838379,2951.440918,2755.908447,2945.892822,2945.892822,28726205272
2/5/2021,2945.560059,2984.891846,2860.526123,2952.056152,2952.056152,28032013047
3/5/2021,2951.175781,3450.037842,2951.175781,3431.086182,3431.086182,49174290212
4/5/2021,3431.131592,3523.585938,3180.742676,3253.629395,3253.629395,62402045158
5/5/2021,3240.554688,3541.462646,3213.101563,3522.783203,3522.783203,48334198383
